[ 2024-06-30 23:56:06,542  33 COMPONENTS - INFO - starting the Data Ingestion]
[ 2024-06-30 23:56:06,544  39 COMPONENTS - INFO - Ingestion ended .... HURRAY]
[ 2024-06-30 23:56:06,545  43 COMPONENTS - INFO - Saving the Data into Artifacts Folder]
[ 2024-06-30 23:56:06,548  50 COMPONENTS - INFO - Saving of Data Finished]
[ 2024-06-30 23:56:06,548  28 COMPONENTS - INFO - Reading the Data Provided by Ingestion]
[ 2024-06-30 23:56:06,549  33 COMPONENTS - INFO - Reading of Data Provided by Ingestion COMPLETED]
[ 2024-06-30 23:56:06,549  34 COMPONENTS - INFO - Checking numerical and categorical features in data]
[ 2024-06-30 23:56:06,549  39 COMPONENTS - INFO - NUMERICAL FEATURES ARE - ['reading_score', 'writing_score']. And CATEGORICAL FEATURES ARE - ['gender', 'race_ethnicity', 'parental_level_of_education', 'lunch', 'test_preparation_course']]
[ 2024-06-30 23:56:06,549  50 COMPONENTS - INFO - Transformation beginning]
[ 2024-06-30 23:56:06,553  57 COMPONENTS - INFO - Transformation completed]
[ 2024-06-30 23:56:06,553  58 COMPONENTS - INFO - Creating the pickle file for preprocessor]
[ 2024-06-30 23:56:06,553  63 COMPONENTS - INFO - Dumped the pickle file in Artifacts Folder]
[ 2024-06-30 23:56:06,553  64 COMPONENTS - INFO - Saving X_train_transformed X_test_transformed into Artifacts Folder]
[ 2024-06-30 23:56:06,559  69 COMPONENTS - INFO - Both CSV files Saved]
[ 2024-06-30 23:56:06,559  28 COMPONENTS - INFO - Loading the data into Dataframes]
[ 2024-06-30 23:56:06,561  35 COMPONENTS - INFO - Loading of data finished]
[ 2024-06-30 23:56:06,561  47 COMPONENTS - INFO - Starting search for best model]
[ 2024-06-30 23:56:09,121  65 COMPONENTS - INFO - Best model is - SVR(C=10, kernel='linear')]
[ 2024-06-30 23:56:09,121  66 COMPONENTS - INFO - Saving bestModel into Artifact folder]
[ 2024-06-30 23:56:09,122  70 COMPONENTS - INFO - bestModel saved into Artifact folder]
